#Saved Data from the class confocal_logic on 27.04.2022 at 11h22m12s.
#
#Parameters:
#===========
#
#X offset (m): 8.5229998615597336e-06
#X image range (m): 1.4999999999999999e-05
#Y offset (m): 2.0385402730173499e-05
#Y image range (m): 1.4999999999999999e-05
#XY resolution (samples per range): 100
#XY Image at z position (m): 3.0623121630274850e-07
#Clock frequency of scanner (Hz): 200
#Return Slowness (Steps during retrace line): 20
#
#Data:
#=====
#x position (m)	y position (m)	z position (m)	count rate /Dev1/Ctr0 (Hz)	
5.309250e-06	1.372508e-05	3.062312e-07	4.000000e+04
5.460765e-06	1.372508e-05	3.062312e-07	4.040000e+04
5.612280e-06	1.372508e-05	3.062312e-07	3.940000e+04
5.763795e-06	1.372508e-05	3.062312e-07	4.260000e+04
5.915311e-06	1.372508e-05	3.062312e-07	4.140000e+04
6.066826e-06	1.372508e-05	3.062312e-07	4.520000e+04
6.218341e-06	1.372508e-05	3.062312e-07	4.040000e+04
6.369856e-06	1.372508e-05	3.062312e-07	4.040000e+04
6.521371e-06	1.372508e-05	3.062312e-07	4.080000e+04
6.672886e-06	1.372508e-05	3.062312e-07	3.820000e+04
6.824401e-06	1.372508e-05	3.062312e-07	3.580000e+04
6.975917e-06	1.372508e-05	3.062312e-07	4.040000e+04
7.127432e-06	1.372508e-05	3.062312e-07	4.100000e+04
7.278947e-06	1.372508e-05	3.062312e-07	3.780000e+04
7.430462e-06	1.372508e-05	3.062312e-07	4.180000e+04
7.581977e-06	1.372508e-05	3.062312e-07	4.140000e+04
7.733492e-06	1.372508e-05	3.062312e-07	3.660000e+04
7.885008e-06	1.372508e-05	3.062312e-07	3.960000e+04
8.036523e-06	1.372508e-05	3.062312e-07	3.860000e+04
8.188038e-06	1.372508e-05	3.062312e-07	4.320000e+04
8.339553e-06	1.372508e-05	3.062312e-07	3.940000e+04
8.491068e-06	1.372508e-05	3.062312e-07	3.620000e+04
8.642583e-06	1.372508e-05	3.062312e-07	3.720000e+04
8.794098e-06	1.372508e-05	3.062312e-07	3.560000e+04
8.945614e-06	1.372508e-05	3.062312e-07	3.660000e+04
9.097129e-06	1.372508e-05	3.062312e-07	3.840000e+04
9.248644e-06	1.372508e-05	3.062312e-07	4.180000e+04
9.400159e-06	1.372508e-05	3.062312e-07	4.080000e+04
9.551674e-06	1.372508e-05	3.062312e-07	4.160000e+04
9.703189e-06	1.372508e-05	3.062312e-07	3.900000e+04
9.854705e-06	1.372508e-05	3.062312e-07	4.140000e+04
1.000622e-05	1.372508e-05	3.062312e-07	3.700000e+04
1.015773e-05	1.372508e-05	3.062312e-07	4.000000e+04
1.030925e-05	1.372508e-05	3.062312e-07	4.680000e+04
1.046077e-05	1.372508e-05	3.062312e-07	4.580000e+04
1.061228e-05	1.372508e-05	3.062312e-07	3.620000e+04
1.076380e-05	1.372508e-05	3.062312e-07	4.140000e+04
1.091531e-05	1.372508e-05	3.062312e-07	4.440000e+04
1.106683e-05	1.372508e-05	3.062312e-07	4.140000e+04
1.121834e-05	1.372508e-05	3.062312e-07	4.260000e+04
1.136986e-05	1.372508e-05	3.062312e-07	4.320000e+04
1.152137e-05	1.372508e-05	3.062312e-07	3.760000e+04
1.167289e-05	1.372508e-05	3.062312e-07	4.380000e+04
1.182440e-05	1.372508e-05	3.062312e-07	3.700000e+04
1.197592e-05	1.372508e-05	3.062312e-07	4.160000e+04
1.212743e-05	1.372508e-05	3.062312e-07	3.780000e+04
1.227895e-05	1.372508e-05	3.062312e-07	4.200000e+04
1.243046e-05	1.372508e-05	3.062312e-07	3.120000e+04
1.258198e-05	1.372508e-05	3.062312e-07	3.720000e+04
1.273349e-05	1.372508e-05	3.062312e-07	3.540000e+04
1.288501e-05	1.372508e-05	3.062312e-07	4.460000e+04
1.303652e-05	1.372508e-05	3.062312e-07	3.900000e+04
1.318804e-05	1.372508e-05	3.062312e-07	3.220000e+04
1.333955e-05	1.372508e-05	3.062312e-07	3.840000e+04
1.349107e-05	1.372508e-05	3.062312e-07	3.320000e+04
1.364258e-05	1.372508e-05	3.062312e-07	3.800000e+04
1.379410e-05	1.372508e-05	3.062312e-07	3.760000e+04
1.394561e-05	1.372508e-05	3.062312e-07	4.260000e+04
1.409713e-05	1.372508e-05	3.062312e-07	4.280000e+04
1.424864e-05	1.372508e-05	3.062312e-07	3.880000e+04
1.440016e-05	1.372508e-05	3.062312e-07	3.720000e+04
1.455167e-05	1.372508e-05	3.062312e-07	3.500000e+04
1.470319e-05	1.372508e-05	3.062312e-07	4.100000e+04
1.485470e-05	1.372508e-05	3.062312e-07	3.540000e+04
1.500622e-05	1.372508e-05	3.062312e-07	3.560000e+04
1.515773e-05	1.372508e-05	3.062312e-07	3.900000e+04
1.530925e-05	1.372508e-05	3.062312e-07	3.520000e+04
1.546077e-05	1.372508e-05	3.062312e-07	3.660000e+04
1.561228e-05	1.372508e-05	3.062312e-07	3.580000e+04
1.576380e-05	1.372508e-05	3.062312e-07	3.780000e+04
1.591531e-05	1.372508e-05	3.062312e-07	3.260000e+04
1.606683e-05	1.372508e-05	3.062312e-07	4.300000e+04
1.621834e-05	1.372508e-05	3.062312e-07	3.260000e+04
1.218341e-06	1.387660e-05	3.062312e-07	3.560000e+04
1.369856e-06	1.387660e-05	3.062312e-07	3.900000e+04
1.521371e-06	1.387660e-05	3.062312e-07	3.700000e+04
1.672886e-06	1.387660e-05	3.062312e-07	4.040000e+04
1.824401e-06	1.387660e-05	3.062312e-07	4.020000e+04
1.975917e-06	1.387660e-05	3.062312e-07	3.780000e+04
2.127432e-06	1.387660e-05	3.062312e-07	3.640000e+04
2.278947e-06	1.387660e-05	3.062312e-07	3.900000e+04
2.430462e-06	1.387660e-05	3.062312e-07	4.220000e+04
2.581977e-06	1.387660e-05	3.062312e-07	3.580000e+04
2.733492e-06	1.387660e-05	3.062312e-07	3.720000e+04
2.885008e-06	1.387660e-05	3.062312e-07	3.700000e+04
3.036523e-06	1.387660e-05	3.062312e-07	4.020000e+04
3.188038e-06	1.387660e-05	3.062312e-07	3.500000e+04
3.339553e-06	1.387660e-05	3.062312e-07	3.820000e+04
3.491068e-06	1.387660e-05	3.062312e-07	4.160000e+04
3.642583e-06	1.387660e-05	3.062312e-07	3.020000e+04
3.794098e-06	1.387660e-05	3.062312e-07	3.580000e+04
3.945614e-06	1.387660e-05	3.062312e-07	3.280000e+04
4.097129e-06	1.387660e-05	3.062312e-07	3.880000e+04
4.248644e-06	1.387660e-05	3.062312e-07	3.660000e+04
4.400159e-06	1.387660e-05	3.062312e-07	4.140000e+04
4.551674e-06	1.387660e-05	3.062312e-07	3.500000e+04
4.703189e-06	1.387660e-05	3.062312e-07	3.940000e+04
4.854705e-06	1.387660e-05	3.062312e-07	3.560000e+04
5.006220e-06	1.387660e-05	3.062312e-07	3.960000e+04
5.157735e-06	1.387660e-05	3.062312e-07	3.480000e+04
5.309250e-06	1.387660e-05	3.062312e-07	4.400000e+04
5.460765e-06	1.387660e-05	3.062312e-07	4.020000e+04
5.612280e-06	1.387660e-05	3.062312e-07	3.980000e+04
5.763795e-06	1.387660e-05	3.062312e-07	3.580000e+04
5.915311e-06	1.387660e-05	3.062312e-07	3.680000e+04
6.066826e-06	1.387660e-05	3.062312e-07	4.340000e+04
6.218341e-06	1.387660e-05	3.062312e-07	3.800000e+04
6.369856e-06	1.387660e-05	3.062312e-07	3.860000e+04
6.521371e-06	1.387660e-05	3.062312e-07	3.820000e+04
6.672886e-06	1.387660e-05	3.062312e-07	3.300000e+04
6.824401e-06	1.387660e-05	3.062312e-07	3.820000e+04
6.975917e-06	1.387660e-05	3.062312e-07	4.360000e+04
7.127432e-06	1.387660e-05	3.062312e-07	3.700000e+04
7.278947e-06	1.387660e-05	3.062312e-07	3.880000e+04
7.430462e-06	1.387660e-05	3.062312e-07	4.000000e+04
7.581977e-06	1.387660e-05	3.062312e-07	3.720000e+04
7.733492e-06	1.387660e-05	3.062312e-07	4.620000e+04
7.885008e-06	1.387660e-05	3.062312e-07	3.640000e+04
8.036523e-06	1.387660e-05	3.062312e-07	3.420000e+04
8.188038e-06	1.387660e-05	3.062312e-07	4.200000e+04
8.339553e-06	1.387660e-05	3.062312e-07	3.640000e+04
8.491068e-06	1.387660e-05	3.062312e-07	3.700000e+04
8.642583e-06	1.387660e-05	3.062312e-07	3.540000e+04
8.794098e-06	1.387660e-05	3.062312e-07	4.140000e+04
8.945614e-06	1.387660e-05	3.062312e-07	4.020000e+04
9.097129e-06	1.387660e-05	3.062312e-07	4.020000e+04
9.248644e-06	1.387660e-05	3.062312e-07	4.040000e+04
9.400159e-06	1.387660e-05	3.062312e-07	3.640000e+04
9.551674e-06	1.387660e-05	3.062312e-07	3.920000e+04
9.703189e-06	1.387660e-05	3.062312e-07	3.700000e+04
9.854705e-06	1.387660e-05	3.062312e-07	3.640000e+04
1.000622e-05	1.387660e-05	3.062312e-07	4.280000e+04
1.015773e-05	1.387660e-05	3.062312e-07	4.020000e+04
1.030925e-05	1.387660e-05	3.062312e-07	3.740000e+04
1.046077e-05	1.387660e-05	3.062312e-07	3.840000e+04
1.061228e-05	1.387660e-05	3.062312e-07	3.880000e+04
1.076380e-05	1.387660e-05	3.062312e-07	4.020000e+04
1.091531e-05	1.387660e-05	3.062312e-07	4.360000e+04
1.106683e-05	1.387660e-05	3.062312e-07	4.240000e+04
1.121834e-05	1.387660e-05	3.062312e-07	4.520000e+04
1.136986e-05	1.387660e-05	3.062312e-07	4.360000e+04
1.152137e-05	1.387660e-05	3.062312e-07	4.300000e+04
1.167289e-05	1.387660e-05	3.062312e-07	4.080000e+04
1.182440e-05	1.387660e-05	3.062312e-07	4.140000e+04
1.197592e-05	1.387660e-05	3.062312e-07	4.100000e+04
1.212743e-05	1.387660e-05	3.062312e-07	3.800000e+04
1.227895e-05	1.387660e-05	3.062312e-07	3.800000e+04
1.243046e-05	1.387660e-05	3.062312e-07	3.700000e+04
1.258198e-05	1.387660e-05	3.062312e-07	4.000000e+04
1.273349e-05	1.387660e-05	3.062312e-07	3.820000e+04
1.288501e-05	1.387660e-05	3.062312e-07	3.980000e+04
1.303652e-05	1.387660e-05	3.062312e-07	3.440000e+04
1.318804e-05	1.387660e-05	3.062312e-07	3.740000e+04
1.333955e-05	1.387660e-05	3.062312e-07	3.540000e+04
1.349107e-05	1.387660e-05	3.062312e-07	3.780000e+04
1.364258e-05	1.387660e-05	3.062312e-07	3.880000e+04
1.379410e-05	1.387660e-05	3.062312e-07	3.660000e+04
1.394561e-05	1.387660e-05	3.062312e-07	4.400000e+04
1.409713e-05	1.387660e-05	3.062312e-07	3.980000e+04
1.424864e-05	1.387660e-05	3.062312e-07	3.580000e+04
1.440016e-05	1.387660e-05	3.062312e-07	3.500000e+04
1.455167e-05	1.387660e-05	3.062312e-07	3.400000e+04
1.470319e-05	1.387660e-05	3.062312e-07	3.840000e+04
1.485470e-05	1.387660e-05	3.062312e-07	3.780000e+04
1.500622e-05	1.387660e-05	3.062312e-07	4.060000e+04
1.515773e-05	1.387660e-05	3.062312e-07	3.160000e+04
1.530925e-05	1.387660e-05	3.062312e-07	3.600000e+04
1.546077e-05	1.387660e-05	3.062312e-07	4.040000e+04
1.561228e-05	1.387660e-05	3.062312e-07	4.040000e+04
1.576380e-05	1.387660e-05	3.062312e-07	3.940000e+04
1.591531e-05	1.387660e-05	3.062312e-07	3.620000e+04
1.606683e-05	1.387660e-05	3.062312e-07	3.880000e+04
1.621834e-05	1.387660e-05	3.062312e-07	3.780000e+04
1.218341e-06	1.402811e-05	3.062312e-07	3.220000e+04
1.369856e-06	1.402811e-05	3.062312e-07	3.560000e+04
1.521371e-06	1.402811e-05	3.062312e-07	3.880000e+04
1.672886e-06	1.402811e-05	3.062312e-07	3.780000e+04
1.824401e-06	1.402811e-05	3.062312e-07	3.900000e+04
1.975917e-06	1.402811e-05	3.062312e-07	3.360000e+04
2.127432e-06	1.402811e-05	3.062312e-07	3.440000e+04
2.278947e-06	1.402811e-05	3.062312e-07	3.740000e+04
2.430462e-06	1.402811e-05	3.062312e-07	3.860000e+04
2.581977e-06	1.402811e-05	3.062312e-07	3.920000e+04
2.733492e-06	1.402811e-05	3.062312e-07	3.440000e+04
2.885008e-06	1.402811e-05	3.062312e-07	3.560000e+04
3.036523e-06	1.402811e-05	3.062312e-07	3.240000e+04
3.188038e-06	1.402811e-05	3.062312e-07	3.620000e+04
3.339553e-06	1.402811e-05	3.062312e-07	3.660000e+04
3.491068e-06	1.402811e-05	3.062312e-07	3.900000e+04
3.642583e-06	1.402811e-05	3.062312e-07	3.980000e+04
3.794098e-06	1.402811e-05	3.062312e-07	4.080000e+04
3.945614e-06	1.402811e-05	3.062312e-07	4.060000e+04
4.097129e-06	1.402811e-05	3.062312e-07	4.200000e+04
4.248644e-06	1.402811e-05	3.062312e-07	3.780000e+04
4.400159e-06	1.402811e-05	3.062312e-07	4.200000e+04
4.551674e-06	1.402811e-05	3.062312e-07	3.800000e+04
4.703189e-06	1.402811e-05	3.062312e-07	4.280000e+04
4.854705e-06	1.402811e-05	3.062312e-07	4.060000e+04
5.006220e-06	1.402811e-05	3.062312e-07	4.000000e+04
5.157735e-06	1.402811e-05	3.062312e-07	3.780000e+04
5.309250e-06	1.402811e-05	3.062312e-07	4.680000e+04
5.460765e-06	1.402811e-05	3.062312e-07	4.300000e+04
5.612280e-06	1.402811e-05	3.062312e-07	4.380000e+04
5.763795e-06	1.402811e-05	3.062312e-07	4.180000e+04
5.915311e-06	1.402811e-05	3.062312e-07	4.300000e+04
6.066826e-06	1.402811e-05	3.062312e-07	4.240000e+04
6.218341e-06	1.402811e-05	3.062312e-07	3.580000e+04
6.369856e-06	1.402811e-05	3.062312e-07	3.860000e+04
6.521371e-06	1.402811e-05	3.062312e-07	3.800000e+04
6.672886e-06	1.402811e-05	3.062312e-07	3.860000e+04
6.824401e-06	1.402811e-05	3.062312e-07	4.100000e+04
6.975917e-06	1.402811e-05	3.062312e-07	3.720000e+04
7.127432e-06	1.402811e-05	3.062312e-07	3.800000e+04
7.278947e-06	1.402811e-05	3.062312e-07	4.380000e+04
7.430462e-06	1.402811e-05	3.062312e-07	3.820000e+04
7.581977e-06	1.402811e-05	3.062312e-07	3.860000e+04
7.733492e-06	1.402811e-05	3.062312e-07	4.100000e+04
7.885008e-06	1.402811e-05	3.062312e-07	4.260000e+04
8.036523e-06	1.402811e-05	3.062312e-07	4.000000e+04
8.188038e-06	1.402811e-05	3.062312e-07	4.100000e+04
8.339553e-06	1.402811e-05	3.062312e-07	4.000000e+04
8.491068e-06	1.402811e-05	3.062312e-07	3.880000e+04
8.642583e-06	1.402811e-05	3.062312e-07	3.920000e+04
8.794098e-06	1.402811e-05	3.062312e-07	3.880000e+04
8.945614e-06	1.402811e-05	3.062312e-07	3.940000e+04
9.097129e-06	1.402811e-05	3.062312e-07	4.500000e+04
9.248644e-06	1.402811e-05	3.062312e-07	3.960000e+04
9.400159e-06	1.402811e-05	3.062312e-07	3.840000e+04
9.551674e-06	1.402811e-05	3.062312e-07	4.120000e+04
9.703189e-06	1.402811e-05	3.062312e-07	3.580000e+04
9.854705e-06	1.402811e-05	3.062312e-07	3.980000e+04
1.000622e-05	1.402811e-05	3.062312e-07	3.860000e+04
1.015773e-05	1.402811e-05	3.062312e-07	3.980000e+04
1.030925e-05	1.402811e-05	3.062312e-07	3.900000e+04
1.046077e-05	1.402811e-05	3.062312e-07	3.640000e+04
1.061228e-05	1.402811e-05	3.062312e-07	4.400000e+04
1.076380e-05	1.402811e-05	3.062312e-07	3.360000e+04
1.091531e-05	1.402811e-05	3.062312e-07	4.260000e+04
1.106683e-05	1.402811e-05	3.062312e-07	4.140000e+04
1.121834e-05	1.402811e-05	3.062312e-07	4.160000e+04
1.136986e-05	1.402811e-05	3.062312e-07	4.300000e+04
1.152137e-05	1.402811e-05	3.062312e-07	4.100000e+04
1.167289e-05	1.402811e-05	3.062312e-07	3.840000e+04
1.182440e-05	1.402811e-05	3.062312e-07	3.940000e+04
1.197592e-05	1.402811e-05	3.062312e-07	3.640000e+04
1.212743e-05	1.402811e-05	3.062312e-07	3.600000e+04
1.227895e-05	1.402811e-05	3.062312e-07	3.780000e+04
1.243046e-05	1.402811e-05	3.062312e-07	3.680000e+04
1.258198e-05	1.402811e-05	3.062312e-07	3.800000e+04
1.273349e-05	1.402811e-05	3.062312e-07	3.360000e+04
1.288501e-05	1.402811e-05	3.062312e-07	3.920000e+04
1.303652e-05	1.402811e-05	3.062312e-07	3.960000e+04
1.318804e-05	1.402811e-05	3.062312e-07	3.340000e+04
1.333955e-05	1.402811e-05	3.062312e-07	3.860000e+04
1.349107e-05	1.402811e-05	3.062312e-07	4.080000e+04
1.364258e-05	1.402811e-05	3.062312e-07	3.620000e+04
1.379410e-05	1.402811e-05	3.062312e-07	3.100000e+04
1.394561e-05	1.402811e-05	3.062312e-07	3.440000e+04
1.409713e-05	1.402811e-05	3.062312e-07	3.580000e+04
1.424864e-05	1.402811e-05	3.062312e-07	3.600000e+04
1.440016e-05	1.402811e-05	3.062312e-07	4.380000e+04
1.455167e-05	1.402811e-05	3.062312e-07	4.080000e+04
1.470319e-05	1.402811e-05	3.062312e-07	4.160000e+04
1.485470e-05	1.402811e-05	3.062312e-07	2.920000e+04
1.500622e-05	1.402811e-05	3.062312e-07	4.140000e+04
1.515773e-05	1.402811e-05	3.062312e-07	3.660000e+04
1.530925e-05	1.402811e-05	3.062312e-07	3.780000e+04
1.546077e-05	1.402811e-05	3.062312e-07	3.600000e+04
1.561228e-05	1.402811e-05	3.062312e-07	3.620000e+04
1.576380e-05	1.402811e-05	3.062312e-07	3.920000e+04
1.591531e-05	1.402811e-05	3.062312e-07	3.860000e+04
1.606683e-05	1.402811e-05	3.062312e-07	3.700000e+04
1.621834e-05	1.402811e-05	3.062312e-07	4.000000e+04
1.218341e-06	1.417963e-05	3.062312e-07	3.520000e+04
1.369856e-06	1.417963e-05	3.062312e-07	3.620000e+04
1.521371e-06	1.417963e-05	3.062312e-07	3.940000e+04
1.672886e-06	1.417963e-05	3.062312e-07	3.920000e+04
1.824401e-06	1.417963e-05	3.062312e-07	4.060000e+04
1.975917e-06	1.417963e-05	3.062312e-07	3.500000e+04
2.127432e-06	1.417963e-05	3.062312e-07	3.600000e+04
2.278947e-06	1.417963e-05	3.062312e-07	4.000000e+04
2.430462e-06	1.417963e-05	3.062312e-07	3.540000e+04
2.581977e-06	1.417963e-05	3.062312e-07	4.140000e+04
2.733492e-06	1.417963e-05	3.062312e-07	3.800000e+04
2.885008e-06	1.417963e-05	3.062312e-07	3.480000e+04
